nes size p.value p.adj
SALL2 -3.80156562533847 292 0.000143784643166212 0.00809360509271874
PAX5 3.78790221924899 450 0.000151924613682686 0.00809360509271874
SOX1 3.7850933589674 264 0.000153650886018811 0.00809360509271874
ISL2 3.7665013695109 410 0.000165551176277191 0.00809360509271874
PITX2 -3.76386963843118 401 0.000167304123719849 0.00809360509271874
HOXA11 3.72490972947955 285 0.000195385126517291 0.00809360509271874
ZNF844 -3.71833864263488 211 0.000200537322349388 0.00809360509271874
HOXD11 3.70050749998803 250 0.000215168719553356 0.00809360509271874
HOXC8 3.69458277269659 416 0.000220248139653817 0.00809360509271874
LHX2 3.68650036256731 112 0.000227359118148542 0.00809360509271874
ERF 3.68182602708442 186 0.000231569415014113 0.00809360509271874
HOXC9 3.6780431662886 626 0.000235030190297074 0.00809360509271874
HOXC11 3.67218267555503 150 0.000240487673195972 0.00809360509271874
NFIA -3.66707896983979 237 0.000245337044921451 0.00809360509271874
ZNF626 -3.66525884492921 619 0.000247088546641667 0.00809360509271874
HOXC6 3.65952090469816 263 0.000252687230016877 0.00809360509271874
ZNF200 3.65172289977088 446 0.000260486868841141 0.00809360509271874
HMGA2 3.64601527326216 352 0.000266338152701987 0.00809360509271874
ZNF256 -3.64508531714767 309 0.000267303109458159 0.00809360509271874
RORC -3.64348916697978 623 0.000268966977543163 0.00809360509271874
TCF12 3.63937901122701 448 0.000273296305688547 0.00809360509271874
KLF15 -3.63355089094417 466 0.000279547278386181 0.00809360509271874
GBX2 3.63253054815533 148 0.000280655338297991 0.00809360509271874
ZNF536 -3.63007336585843 538 0.00028334067286539 0.00809360509271874
PRRX2 3.62456493190362 385 0.000289448295216407 0.00809360509271874
HES1 -3.62448885106835 356 0.000289533508960176 0.00809360509271874
ZNF132 -3.62214146714373 552 0.00029217425594073 0.00809360509271874
PPARG -3.6175353903963 398 0.000297421672985583 0.00809360509271874
SALL4 3.61389847040589 413 0.000301627215438372 0.00809360509271874
HIF3A -3.6129996878269 395 0.000302675068205977 0.00809360509271874
FOXO4 -3.61235763286993 440 0.000303425699430043 0.00809360509271874
HLF -3.59514226992155 607 0.000324214351565255 0.00809360509271874
TSHZ1 -3.59497287205585 386 0.00032442538037309 0.00809360509271874
HOXD10 3.59328216341681 331 0.000326538650969302 0.00809360509271874
PKNOX1 3.58668160929054 191 0.000334912839141454 0.00809360509271874
ZFP69B 3.58176083512971 433 0.000341286161274548 0.00809360509271874
CDX1 3.57816060033372 367 0.000346020821670817 0.00809360509271874
DNMT1 3.57599664424957 770 0.000348896126107625 0.00809360509271874
OSR1 -3.57462665003882 516 0.00035072800961179 0.00809360509271874
ZIC5 3.57216775228054 451 0.000354038499882416 0.00809360509271874
ELF4 3.56339930567389 303 0.000366083161119364 0.00809360509271874
HOXB7 3.56162546171114 409 0.000368565911920107 0.00809360509271874
HBP1 -3.55484609485057 406 0.000378200398796782 0.00809360509271874
PLAGL1 -3.55340858859907 211 0.000380273331127598 0.00809360509271874
ZNF717 -3.54186588116913 248 0.000397307429356916 0.00809360509271874
HMX1 3.54099651015151 290 0.000398618850689784 0.00809360509271874
ZNF470 -3.54064203613514 254 0.000399154724374763 0.00809360509271874
TFAP2E 3.51904588547174 332 0.000433101792954516 0.00809360509271874
ONECUT2 3.51623523801986 320 0.000437712978425413 0.00809360509271874
NR0B1 -3.51525251632345 157 0.000439336029184748 0.00809360509271874
ZNF281 3.51246518117979 667 0.000443970173595847 0.00809360509271874
HOXC4 3.51160671343106 542 0.000445406602147564 0.00809360509271874
ZNF540 -3.50986206542515 403 0.000448339204505504 0.00809360509271874
ZNF707 3.50859807836266 329 0.000450475104051806 0.00809360509271874
ZNF736 -3.50631028066854 455 0.000454365218699763 0.00809360509271874
ZNF718 -3.50347509788272 327 0.000459229591244053 0.00809360509271874
LBX2 3.50269765799857 362 0.00046057192293169 0.00809360509271874
MAZ 3.49878578191134 345 0.000467381921326962 0.00809360509271874
ZXDC -3.49623019527694 497 0.000471881427798051 0.00809360509271874
ZFP90 3.49217058024737 340 0.000479112169355087 0.00809360509271874
ZSCAN4 -3.49187733265349 413 0.000479638466302743 0.00809360509271874
HOXD13 3.49132367152191 235 0.000480633602749277 0.00809360509271874
ZNF662 -3.49094786061016 395 0.000481310172566738 0.00809360509271874
ZNF532 3.49061171535915 489 0.000481916085060627 0.00809360509271874
RFX8 3.48711559816386 530 0.000488260264623675 0.00809360509271874
TCF3 3.48368274647075 453 0.000494565353201813 0.00809360509271874
