	Tumor_C3L-00977	Tumor_C3L-00987	Tumor_C3L-00994	Tumor_C3L-00995	Tumor_C3L-00997	Tumor_C3L-00999	Tumor_C3L-01138	Tumor_C3L-01237	Tumor_C3L-02617	Tumor_C3L-02621	Tumor_C3L-02651	Tumor_C3L-03378	Tumor_C3L-04025	Tumor_C3L-04354	Tumor_C3L-04791	Tumor_C3L-04844	Tumor_C3L-04849	Tumor_C3N-00204	Tumor_C3N-00295	Tumor_C3N-00297	Tumor_C3N-00299	Tumor_C3N-00306	Tumor_C3N-00307	Tumor_C3N-00498	Tumor_C3N-00519	Tumor_C3N-00822	Tumor_C3N-00825	Tumor_C3N-00828	Tumor_C3N-00829	Tumor_C3N-00846	Tumor_C3N-00857	Tumor_C3N-00871	Tumor_C3N-01337	Tumor_C3N-01338	Tumor_C3N-01339	Tumor_C3N-01340	Tumor_C3N-01620	Tumor_C3N-01645	Tumor_C3N-01752	Tumor_C3N-01754	Tumor_C3N-01755	Tumor_C3N-01756	Tumor_C3N-01757	Tumor_C3N-01758	Tumor_C3N-01858	Tumor_C3N-01859	Tumor_C3N-01943	Tumor_C3N-01944	Tumor_C3N-01945	Tumor_C3N-01946	Tumor_C3N-01947	Tumor_C3N-01948	Tumor_C3N-02275	Tumor_C3N-02279	Tumor_C3N-02333	Tumor_C3N-02693	Tumor_C3N-02694	Tumor_C3N-02695	Tumor_C3N-02700	Tumor_C3N-02713	Tumor_C3N-02714	Tumor_C3N-02716	Tumor_C3N-02727	Tumor_C3N-02730	Tumor_C3N-02925	Tumor_C3N-03008	Tumor_C3N-03009	Tumor_C3N-03011	Tumor_C3N-03012	Tumor_C3N-03013	Tumor_C3N-03015	Tumor_C3N-03027	Tumor_C3N-03028	Tumor_C3N-03042	Tumor_C3N-03045	Tumor_C3N-03226	Tumor_C3N-03433	Tumor_C3N-03456	Tumor_C3N-03457	Tumor_C3N-03458	Tumor_C3N-03487	Tumor_C3N-03488	Tumor_C3N-03490	Tumor_C3N-03612	Tumor_C3N-03619	Tumor_C3N-03620	Tumor_C3N-03664	Tumor_C3N-03781	Tumor_C3N-03782	Tumor_C3N-03783	Tumor_C3N-03785	Tumor_C3N-03837	Tumor_C3N-03841	Tumor_C3N-03849	Tumor_C3N-03876	Tumor_C3N-03878	Tumor_C3N-03888	Tumor_C3N-03889	Tumor_C3N-03928	Tumor_C3N-03933	Tumor_C3N-04152	Tumor_C3N-04273	Tumor_C3N-04275	Tumor_C3N-04276	Tumor_C3N-04277	Tumor_C3N-04278	Tumor_C3N-04279	Tumor_C3N-04280	Tumor_C3N-04611
ADNP	0.518753161760489	1.91491665885202	1.42758553772582	2.06550838925046	1.21565394287971	0.93791723114599	1.60659936206209	2.242761481853	2.84925420207053	1.78645659600572	1.56832583605049	2.76906442415271	1.33659911082335	2.86168986715081	2.14222935332681	0.998315448406358	1.64772752917153	2.49507985833258	2.37379414430814	1.49855145221942	0.431108584897613	2.4387205434806	2.46101634781257	2.81873649312121	2.3383851948849	2.26332057677608	0.864691088865911	2.73913833037849	2.28919929929949	1.90975501874709	1.30153394852025	0.581250351709817	1.87608368098402	0.687807311423468	1.8678455626285	1.41418684948	2.28806150127928	1.61160605023734	1.24582576108995	1.20118931842331	3.37749615801306	2.8365713655008	1.08433862485131	0.661572651348976	1.57343615112993	2.0696894053803	0.999907298388785	1.4290084427712	1.67891818440434	1.02377988509003	1.35367874049985	0.538282877423176	1.19813944641086	0.356838431169567	1.17674156648953	2.56828718113517	1.87820440758141	0.418071489181746	1.70590976806266	3.3476398121552	1.69868990472459	1.83113793466141	2.09013316845554	0.490083451391356	0.943396668393274	0.35889208820374	2.7756383316837	3.12988263392317	0.911554814998864	1.30931986554268	0.727680065905002	1.83913256111388	1.29724210926896	0.40354877205375	0.433097602830032	0.339818300776147	2.15293139145267	2.62361424758973	2.21354108410132	0.512811259592982	0.806582858390151	1.16306367478615	2.52265233749205	2.34308783831411	0.943299551095075	1.0587036188773	0.971365552689046	1.52977157373734	1.36126668875053	0.924069832734722	1.97638628957053	-0.0988610045627329	1.79631210601491	1.82457509352987	1.29752878043323	2.20793446021757	1.43924693983896	0.860327755908116	0.844693378757414	0.550350328553076	1.55818998472863	1.83860500605063	2.30785259786565	3.31624510307856	2.22446604961052	2.14424979844461	1.92202871961683	-0.288764590848351	1.93256627673477
ADNP2	1.75236485344072	2.40640682365169	2.35384646893303	1.74886481356209	1.61136342938902	0.720523869964516	1.74442547113182	2.23666558055207	1.51785614306731	1.48336822471545	2.53127821319453	2.71678298239552	0.587607282802475	2.25781920168132	1.63533589784555	1.49535150587991	1.71034145014257	1.34376287245851	1.69049322552671	0.816837619910937	1.37285366466516	1.79883319061194	1.84543700291068	2.15340571052213	2.16197095355153	2.14090242272901	2.67841923743593	1.23113450466776	2.34034597069047	1.77085190398968	2.64049716706956	1.67265876236626	1.42247648596018	1.68710962063116	2.2713173691054	0.941343486689174	1.01703529065549	1.74278578412837	1.94361527222266	1.11462129289547	3.95034964694444	3.84811104307981	1.52477870830492	1.38006455845786	2.02867078578739	2.30084570793249	1.94267627397126	1.93656037645028	2.27170429945259	1.65210517310368	1.94895265021938	1.2338428703934	1.50446217371045	0.918837358515359	0.988681505925157	2.76236772318347	2.66266264647405	1.03294002698813	1.58680939060256	3.31372093455507	1.64368917299789	1.86331662731328	1.64154319021438	1.91447145778335	1.34822715126387	1.62558539511234	2.74076574166061	3.74152056506686	1.7309110952616	0.868867724251899	2.5591305704678	1.77229766205481	1.57273818619674	1.23092618189292	0.973923679960079	1.45426763169504	2.52741366213191	2.00334628647619	2.78229215359161	1.40315863058621	1.16868863093038	1.72674773553984	2.99155942571145	1.72810352263048	1.05790907525774	2.52269861974567	1.5804220640415	1.26129566528666	1.57035031465971	1.39331641128476	3.00954215139163	0.962561802019462	2.49063707511636	1.87385863608136	1.63462441807571	1.76069273557481	1.76330462245496	0.750264622964678	1.00467691589177	1.08606249197552	1.95330046432516	3.52121428143805	0.887994108580426	3.45967134949209	0.876798238806245	2.3402441100057	1.96081444141427	0.887293150369757	2.53578479936779
AEBP2	1.3046706450967	2.19165877772491	0.571993797567499	1.55789925870431	2.14308734043174	1.31690769436745	1.48184094970139	1.18353211292052	1.95592533826986	1.88082386307893	1.92393562697056	2.18905033599445	0.775632565960965	1.77445137229194	1.23524207741034	2.35593806373798	1.85612236235076	1.3970163924834	2.5944992508765	1.58537381979003	1.62666160238943	1.31669288199296	1.40208384640315	2.87750186962745	1.24409821662564	1.83678446725325	1.09831909350084	2.1462770372774	2.30200393824479	1.40891712366782	2.65327593550931	1.6065492291164	1.15490109115002	1.73989573281827	2.94699605500305	1.50087401995519	1.79616608828944	1.51780819969667	1.73582328515223	1.9549485650879	1.69073143403825	2.3011083956706	1.54476128604641	1.39298273256395	1.4345933159256	2.39932818847843	2.15645448418689	1.44223408551205	1.97107167929895	1.45193932047006	0.428366811592341	1.32386152535224	1.78997291719305	1.12795372138246	1.42136060577318	1.69684500423958	0.433258473731558	1.18974877007754	1.76157373826015	2.26280342571303	1.24767077035419	1.47310278705358	1.33882636243504	0.338511012656005	1.8138542857134	0.818737802576599	2.05824933427845	1.64899675862682	1.52729166520703	0.73468164866647	0.840014392727712	2.24831640704163	0.877953884936179	1.07890153180034	0.689348744620335	0.451197651046351	1.90599539461283	2.39576320041588	0.914464850110367	1.63440147428488	1.0434777457092	1.52027953667655	2.02526043646514	0.145609929342371	1.24318765651484	0.664817517889043	1.39031338018563	1.15820329401682	2.11525718939452	1.82842587709369	0.846464972098815	1.12491050173846	1.94895266324926	1.98582597385274	2.04189763915858	1.96018885724186	2.01291236165018	1.00480174461696	0.769458818029984	1.08821108816696	1.92793069232831	1.62383550748958	1.83920200454429	1.67309327405228	0.654473574552015	2.33699845387855	1.84283827610294	1.32191548582041	1.47648268590544
AHR	2.03219992183377	0.958494334398427	2.22040799639766	2.35162956114954	2.1313023816269	2.353147302562	1.68729395738716	1.6489307352236	1.13897184703037	1.98937829122193	2.25115480392205	1.32577597231127	1.86126810559938	1.73626079933421	2.04390122112418	1.62990853670736	1.97849469859121	0.877415609643689	1.52888290996624	1.94299281257916	1.72120948396538	2.23745666631644	2.02802955957887	1.1396397357181	1.94284314014135	1.37012376760196	2.35627871224791	1.57922273619315	1.54061643892121	2.44051589522557	1.54001155751592	1.60464811317838	2.04679903441186	1.9052637577236	1.27687385102671	2.25053721775451	1.95166082903799	2.41069676031236	1.4160203504547	1.87609173328065	1.80997313465404	1.63904152933217	1.96562853699365	2.33398032532672	1.88760673071285	1.76236242009059	1.23517652602419	2.16477099155501	1.96276196916435	2.26676001270516	2.29445945760275	2.48245214552178	1.88815528652672	2.04828487061765	2.25219070166995	1.2572227620669	2.47493554114808	1.64896628734068	1.806207244337	0.703978199577078	2.44662722331188	2.11599748334057	2.58986258545005	2.40694344506827	2.4405390000344	1.91758820670085	1.19738648520622	1.62547499342631	1.36483016612009	2.42458267882695	2.26871577861139	1.48690019184422	2.14227048905614	1.80491070673247	1.70228869660054	2.15036733517798	1.8480325307898	1.72874334634843	2.44736614771274	1.67134932103593	2.18431907517428	1.72181232299257	1.57351232915127	1.74000229765651	1.72540358332891	2.22612297268679	1.67296432208862	1.99421217263254	1.11167335971093	2.38855632004597	0.991122819947149	1.8512006872972	1.8242805009359	1.66358916177367	1.90896932247764	2.01573819542238	1.77617515725662	1.97924899622417	2.18822014279942	2.23479569374892	1.22489235737348	0.723755858504419	1.99822613200945	1.521560718901	2.41657282774386	1.61244058453803	1.56054916728935	1.04808866543944	2.40785216848681
AHRR	-1.68158498587294	-0.737597824608654	-1.3566779586041	-0.799256632632427	-0.746554517401089	-2.29671912414587	-0.406873532706822	-0.677245959851084	-0.614991384873364	-0.376625423848687	-1.20625890710842	-0.568046887010726	-1.43202371955282	-0.946204438341128	-0.750097200850243	-0.587178364606906	-0.668585922592876	-0.448244439399303	-0.353901039570802	-0.490378327679199	-1.80704381736193	-0.66347771868984	-0.794553380711915	-0.366101299432182	-0.599298944859617	-0.528093140576152	-1.91311303975675	0.139952069862011	-0.615667330060511	-1.42809471842449	-0.947249450607449	-0.752554721321918	-0.413946118855459	-0.798077380977553	-1.27440466590317	-0.979924794987331	-0.79587866593934	-0.89324897785429	-0.6974021354348	-0.640706874547965	-1.09567234754668	-1.51559798537762	-0.562016721263982	-1.71278710241287	-0.843099481220262	-0.846135877346948	-0.489356226015699	-1.33023937438024	-0.953202471306923	-1.30418406506155	-1.45721843873349	-2.51183155625674	-0.856418970993575	-1.51584039647931	-0.803831867358938	-0.796797677856597	-1.54326737673518	-0.469461696514042	-0.99139446879599	-0.16767944394415	-1.60888632807945	-0.96705029385264	-1.36803781485875	-1.02006854413426	-1.02849195004351	-0.914250371922145	-0.760272930000141	-0.79437396717301	-0.617880758227303	-1.12269864560542	-0.72818112944383	-0.401106969479483	-0.524862596371335	-0.615764438324916	-0.138484136104736	-0.884187408833837	-0.911153472435823	-0.447789619577828	-1.05528691388754	-0.454197553558143	-0.957435869988986	-0.675053715628578	-0.857709250619379	-0.48371565994533	-0.132322288716395	-1.80558668051333	-0.431126790082243	-1.51604256156005	-0.00579746773851962	-0.6630056584145	-0.737668606380129	-0.989182365642882	-1.06297469046038	-0.489024079788606	-0.865427340717935	-1.03376714038012	-0.353607992650103	-0.704487489963909	-0.763990668033485	-0.98773213561645	-0.367158591387328	-0.503098766866801	-0.24325492560125	-1.11320362832511	-0.680526842714168	-0.696270254938101	-0.777360275360604	-0.0630219818401047	-1.80255336619577
AIRE	-1.18665058829093	-0.590672747168753	-0.447370975830131	0.0305688960088369	-1.24627392561833	-0.717390208209222	-0.440809206402842	-0.229690154061589	0.179561223423453	-0.0821268899636845	-0.21632147740818	-0.160924198397512	-0.132775828252395	-0.546907016527695	-0.232942589166822	-0.988970673752725	-1.96161406566187	0.0935682692650472	-0.28100720115801	-0.0749082035408423	-0.346759082205456	-0.0859538857860107	0.102223180250456	-0.563706168589591	0.299403715180898	-0.341151635007675	-0.856724027910225	-0.166467349580294	-0.0899680547313754	0.0127450401947048	-1.54258074137601	-1.11259352702137	-0.588223660697167	-1.03270214968579	-0.274175509785249	-0.690613082909897	-0.099177456731395	-0.466256822760087	-0.959048329926547	-0.743015185678682	0.332196991702746	0.117412754413912	-1.1165441965246	-0.411610478157793	-0.719257150788625	-0.176477870868357	-0.752464816808446	-0.626806393766126	-0.886904348337049	-0.145176480960878	-0.35999223460915	-0.529924142281229	-0.388812623308556	-0.85224724123133	0.287685277732619	-0.00310010921176128	-0.544173514332153	-1.21969851319846	-0.299476069307918	-0.54613071900836	-0.323353222121394	0.391279947683547	0.320214390132367	-0.530656297558066	-0.136791932988576	-0.875233690163106	-0.864067661834001	0.749964552248284	-0.466483272006367	-0.318597326126974	-0.96690381310009	-0.541233861357541	-0.605842180364466	-0.641672028805666	-1.9684053604018	-0.223717916928087	-0.48388258325017	-0.539277942287828	0.373105880019657	-1.13511109903542	0.331791228939734	-0.835356440602348	-0.588293093029344	0.740069651160384	-1.50535181340252	0.0150648186507303	-0.869647886505246	-0.491752452653952	-0.928688617751791	-0.690957848928801	-0.818543395306121	-0.405003182226678	-0.438316676500232	-0.855135207166383	-1.32019013297136	-0.978427451997674	-0.892999680066753	-0.0604978625691837	-0.37671719633455	-0.528565258268065	-0.900119550815561	-0.373288919488789	0.36131982910723	-0.0318493776956003	-0.452989317842787	0.0184204363370273	-0.692006642301143	-0.0361003202111008	-0.982949887508959
ALX1	0.398005623973148	0.612781850756544	0.400368272577951	0.260034077683365	0.366616945610387	0.449430396506632	0.381486231843093	0.398664681897852	0.336857664989602	0.113922810273007	0.365089259827731	0.414566033180843	-0.014312983615537	0.381564648743609	0.354469294758866	0.578427605740232	0.508909204525125	0.649822857800585	0.521431642913497	0.346759890025644	0.231223570676567	0.415592398519803	0.52468990864435	0.572891619025373	0.198922370392311	0.75495582130902	0.289539083896747	0.105242356126365	0.463443517046957	0.209018563328641	1.5185317911745	0.992558548664855	0.300569934191855	0.597038084056631	2.49726650533688	0.457436309120619	0.599438122724397	0.487549891797612	0.6153802784263	0.374526374177628	0.718876864041435	1.08068070991433	0.324920852727205	0.428713996065179	0.596793369821341	0.390804351586587	0.187990164454312	0.455921599503827	0.669972354887779	0.213482154309851	0.213968368489357	0.153481874661951	0.414275992664455	0.383260501212159	0.15818227247747	0.331703005749121	0.181554257816121	-0.0274196815507168	0.188601425519121	0.354077598554554	0.212703204242603	0.145039951322894	0.178478454409975	-0.0152819992385618	0.0106549282487605	0.399638517479902	1.43345873291824	0.416025665186886	0.516875941874061	0.147507362346831	0.0643277539455563	0.0654898397732895	0.143497064886901	0.493977639961565	0.10787464682534	-0.00489159083101858	0.447434671478658	0.382811595195724	0.329735188748216	0.397618123712764	0.110643184369143	0.446614331513949	0.489390919981876	-0.373508350952239	0.0937903440466385	0.149299992317174	0.341286515798648	0.614340174072345	0.167893321617177	0.187151303456623	0.565661621607293	0.106131846242419	0.543701242027266	0.521632737953787	0.712687960043753	0.736546539208357	0.273675984600383	0.4108453406938	-0.0936573029738986	0.0606966012865972	0.543386052524718	1.76094426738281	0.101938800190269	0.905689555921903	0.0680766650984733	0.280809155550848	0.430856458350067	0.0898968176275386	0.451122085623343
ALX3	0.758670473114094	0.184279285174915	-0.255636543247507	-0.0883022210536808	0.193351941169561	-0.402622805127554	0.448594060213594	0.0144947481188247	0.104905526423361	-1.13112402156948	0.0325391502012152	0.0845825086409962	-0.039149601455966	0.22875312578539	-1.02334346319109	1.17748084080836	0.68128060424819	-0.248000318168849	0.273572727057547	0.142326511820165	0.456937390198137	-0.300545096693845	-0.633133248165218	0.210630403539371	-1.42200445887196	0.165792347424728	-0.00353796803962848	0.155117959534339	0.133029567880697	-0.111018676573918	0.352238953197855	0.164998923420714	0.0249820793066753	0.469704650150815	-0.783081290976231	-0.436963846914355	0.34157968823041	-0.12263612594971	1.05778847189514	0.622898885934188	-0.184325674515477	0.263882330716184	1.4566862495959	0.0636669672649774	0.103539879751641	-0.0640784265519508	0.310342696385553	0.143023142426222	-0.734133890984718	-0.0974123965902432	-0.169724545069331	-0.076459594354965	0.364971439377836	0.571585522890868	0.0438098884045356	0.291217326725087	-0.424713436762763	1.33865894638386	0.560581268851791	-0.797549285015798	-0.113629521727482	0.263704763342652	-0.288626964027548	-0.414757664906376	0.0999165450091624	0.144352947564068	-0.132960656393285	0.902761514938696	0.202942914547224	-1.26008325375911	-0.00046348402787148	0.3793428153064	0.770167155996145	1.274615398596	1.04068982828243	0.0692853643451675	0.604956781138529	0.748554637107806	-0.595517176468327	0.59048085749787	0.086034694988999	0.557181550904079	0.0897011941153455	-1.12708464019968	0.704176097757735	-0.560328054709956	1.48621829095915	-0.124855637412643	1.02028596576021	-0.00527570074710075	0.86714843273259	0.725744242100069	-0.182173549718196	0.387422594669502	0.476274637469756	0.118161330074651	0.123105204929351	0.121040117450888	0.188382879652954	0.176527142373787	0.511116290018386	-0.0422941656014034	0.204566310427777	-0.0688070776087262	-0.561871177256632	-0.420029451567569	0.434330759267303	1.2045474081881	-0.271485673878526
ALX4	-0.415183121784121	-0.192920667904246	-0.164835329100223	-0.571269516325203	-1.5659786449759	-1.12946098557184	-0.829989803454139	-0.178944693914455	-0.463206392457708	-1.54790840244278	-0.704196323586144	-0.642690544190686	-0.997593759282365	-0.943467767190783	-0.469255959388687	-0.860867555937951	-0.3103935020894	-1.05508236838783	-0.472938802417565	-0.425999922285211	-0.363313896277983	-0.910122495057658	-0.586199348893	-0.437248588735168	-1.71049684877777	-0.439532309457488	-0.378776341312048	-0.432022089190669	-0.245437991724884	-0.779760409747102	-0.627695646525991	-0.296545934845018	-0.502248208570654	-0.524021860759796	-0.655963110959741	-1.16478382289207	-0.192190222957914	-0.688002212842837	-0.27659515481415	-0.27983681320728	-0.570072433107314	-0.194967959100436	-0.486342876145091	-1.37910035220196	-1.15326078487735	-1.61961337756947	-1.55973283439293	-0.319002852090716	-2.05079844322248	-1.69135371143667	-0.256438757092832	-1.69970264896501	-0.561792649484495	-0.238870416009704	-0.540869131787188	-1.26907749695062	-0.43376011538881	-0.151634454360506	-0.311323721158549	-0.436615824546067	-0.494307887896735	-0.229909700526988	-1.05316283236317	-0.766584773420393	-1.11339875419811	-0.231692356029249	-0.831521866552021	-0.134801435612544	-0.278838265410171	-1.56154606105543	-0.577278610136777	-0.624717544819183	-0.20217163059163	-0.349776145847339	-0.177833835110053	-0.73791115619141	-0.710931793328463	-0.373238785822822	-1.00025212647972	-0.916435965862908	-0.325629706295564	-0.288270513050982	-0.426037096169316	-0.501965568315499	-0.419944475887695	-0.224080832346892	-0.268571345513599	-0.302528468974944	-0.258401774156269	-1.05137437378791	-0.14151063665574	-0.592531260367963	-1.46023172767822	-0.568606836127101	-0.521201307122031	-0.988142099285027	-0.854352374418702	-0.612331208122018	-0.544344775320183	-0.190860917689697	-0.572919282776421	-0.874835597575049	-0.578682600145844	-0.0736664978390944	-0.860161085762116	-0.495223355323321	-0.247801872880202	-0.114743982868584	-1.22523332059367
AR	-4.16017275641242	-3.05398017034796	-2.86014721167891	-2.8511221994422	-3.99516102714061	-3.26292679391814	-3.63391502557075	-3.16733320656138	-3.16065609809495	-3.33361214703526	-3.77596948366884	-3.50166208596378	-2.26328209394323	-2.96000172562507	-3.28157165039647	-4.08645581657658	-4.34153128153609	-3.32127515883548	-3.58462510036081	-3.82264073246151	-4.13899589234742	-3.48896809785123	-2.98783032697574	-3.61648214362511	-2.604410374755	-3.83556456075788	-3.54666094964583	-3.35131170456093	-3.87261707288601	-2.83928363666918	-3.94871506430357	-3.61108028117451	-3.94393564664863	-4.11579004138798	-3.95218222459686	-3.86520717571028	-3.80713956386964	-4.07068680647461	-3.85114389104314	-3.80356230277274	-2.55521430716703	-2.80180643800165	-3.96953886225012	-3.46970383144814	-3.59751462074657	-3.64148286840611	-3.8127964939291	-3.721269064934	-3.48666496349256	-3.65170245614799	-2.71426819471002	-3.69804270942151	-3.83504049462531	-3.92633698882	-3.43872000938628	-3.3164279987798	-2.84346052293817	-3.73508594749379	-4.04830827852672	-2.97439969486308	-3.67011887423503	-3.02499579960047	-3.00507955914647	-2.78169802383561	-4.11591635002801	-3.43478550217171	-3.37151225500984	-3.08117053202386	-3.0056219587499	-2.60218483657993	-3.9334710906924	-3.55866975609924	-3.60933846122545	-3.4662193613643	-3.98419507521614	-3.55218896499453	-3.85024380556617	-3.78573856946858	-2.13866216402971	-3.93823713052949	-3.46941405030084	-3.43829183979909	-3.1195267457723	-2.07251724556142	-3.40917659748978	-2.40805177033192	-3.67167534271933	-3.29189068738565	-3.80232513905963	-3.56855944587296	-3.20261910907035	-3.99698615355212	-3.48567698948598	-4.11187274592396	-3.99719967749409	-3.83030146843565	-4.27271903043086	-3.02817110580399	-3.69477845014248	-3.7550520637199	-3.92846654001613	-3.2022265147902	-3.38744829648709	-2.31607496530437	-3.32825653820178	-3.26933621619778	-4.20910792658036	-3.15819707738742	-3.23272900336549
