"","x"
"1","cg00735667"
"2","cg02250553"
"3","cg02668822"
"4","cg02939781"
"5","cg03104758"
"6","cg03691338"
"7","cg04058305"
"8","cg07268319"
"9","cg08320628"
"10","cg09672570"
"11","cg10844118"
"12","cg11066033"
"13","cg12605679"
"14","cg13024018"
"15","cg14163444"
"16","cg14858951"
"17","cg15013768"
"18","cg17155577"
"19","cg17379209"
"20","cg17525102"
"21","cg19586165"
"22","cg19931348"
"23","cg20599651"
"24","cg20657849"
"25","cg20796999"
"26","cg21499430"
"27","cg21599089"
"28","cg21685663"
"29","cg21735093"
"30","cg22145091"
"31","cg22229039"
"32","cg24241129"
"33","cg24265969"
"34","cg24372565"
"35","cg25341275"
"36","cg26688191"
