"","FeatureName","FeatureID","AvgRank"
"1","cg15013768",3447,47.2
"2","cg10844118",2534,51.4
"3","cg20781981",4569,56.2
"4","cg22145091",4810,72
"5","cg13173260",3044,86
"6","cg22773142",4929,87.4
"7","cg21735093",4730,88.6
"8","cg02668822",684,96.2
"9","cg22377182",4863,101
"10","cg16577707",3760,109
"11","cg13860981",3195,113.4
"12","cg00591980",151,114.8
"13","cg20796999",4573,115.4
"14","cg12406822",2874,120.2
"15","cg17039262",3859,126.6
"16","cg19346202",4300,128.8
"17","cg25341275",5449,135.8
"18","cg07964958",1916,142
"19","cg24241129",5225,143.4
"20","cg12841296",2975,145.8
"21","cg14141328",3267,152.6
"22","cg22188945",4822,153.2
"23","cg03104758",818,160.6
"24","cg14844466",3421,162.6
"25","cg26688191",5703,164.4
"26","cg07268319",1764,171.2
"27","cg05153380",1304,173.8
"28","cg16172657",3670,178.4
"29","cg11012584",2571,180.6
"30","cg12823748",2970,180.8
"31","cg08683012",2082,187.2
"32","cg13753488",3170,191.2
"33","cg16164079",3666,193.2
"34","cg11316510",2636,197.2
"35","cg02039712",526,204.4
"36","cg22145916",4811,205.2
"37","cg19378537",4309,206.4
"38","cg26689792",5704,207.6
"39","cg03701001",957,210.8
"40","cg03571129",920,211
"41","cg27374881",5846,213.6
"42","cg12526807",2908,216
"43","ch.1.4544771F",5902,218.6
"44","cg05308484",1345,219.8
"45","cg08320628",2000,222
"46","cg20133191",4452,224
"47","cg21585306",4716,224.4
"48","cg13024018",3003,229
"49","cg12590721",2924,230.4
"50","cg13977290",3228,230.4
"51","cg12484325",2897,231.4
"52","cg25926767",5550,231.4
"53","cg17379209",3931,237.6
"54","cg14696662",3398,239.4
"55","cg10397063",2449,239.8
"56","cg13468400",3100,241.4
"57","cg06749789",1637,243.2
"58","cg17525102",3965,244
"59","cg22157525",4815,246
"60","cg09166990",2174,250.8
"61","cg09321109",2214,251.4
"62","cg12475879",2895,253.2
"63","cg12732805",2955,256.2
"64","cg03900808",1015,256.6
"65","cg09672570",2282,258
"66","cg23965551",5160,258.4
"67","cg12771715",2959,259
"68","cg26152597",5593,259
"69","cg19320294",4289,260.6
"70","cg03330254",859,261
"71","cg07670266",1861,263.6
"72","cg20659025",4545,264.4
"73","cg22148663",4813,269.8
"74","cg09202269",2184,270.8
"75","cg14573833",3370,271.2
"76","cg14308304",3308,271.6
"77","cg10586997",2495,272.6
"78","cg21685663",4725,273.8
"79","cg12836085",2974,279.4
"80","cg03691338",951,279.6
"81","cg04895321",1248,281.4
"82","cg17709466",3994,282.8
"83","cg26588076",5687,283
"84","cg13476058",3101,285.8
"85","cg01142668",291,286.4
"86","cg13204568",3048,286.8
"87","cg03735916",970,288.6
"88","cg27631621",5893,289.4
"89","cg01844438",474,289.8
"90","cg13942604",3215,290.4
"91","cg24325581",5244,291
"92","cg06200494",1537,292.2
"93","cg00705805",172,295.4
"94","cg07133930",1726,296.2
"95","cg20657849",4544,299
"96","cg27323154",5838,302.4
"97","ch.13.80601193R",5909,302.8
"98","cg07909292",1904,305.4
"99","cg15247031",3496,306.8
"100","cg02564259",651,308.6
"101","cg05965417",1497,310.4
"102","cg21209815",4653,312.8
"103","ch.20.1002962F",5914,313.8
"104","cg23256393",5026,314.4
"105","cg24372565",5248,315
"106","cg24204643",5220,315.4
"107","ch.2.3528555R",5913,316.2
"108","cg05201784",1317,318.8
"109","cg01304102",331,319.6
"110","cg06996609",1697,321.4
"111","cg12454419",2886,325
"112","cg07105696",1719,325.2
"113","cg23207710",5006,325.8
"114","cg08638512",2075,330
"115","cg22977876",4963,330.6
"116","cg05608383",1422,331.8
"117","cg18091028",4079,334.4
"118","cg11400286",2655,336
"119","cg12992778",2999,339.6
"120","cg01781805",454,341.2
"121","cg24034429",5173,342.2
"122","cg24396271",5256,346
"123","cg01423335",369,346.6
"124","cg15586393",3558,352.8
"125","cg01493678",380,353
"126","cg16977270",3845,355
"127","cg00777537",194,359.6
"128","cg14858951",3423,360.2
"129","cg07342790",1784,361.2
"130","cg26049744",5574,361.6
"131","cg22645161",4908,363.6
"132","cg25864523",5541,364.8
"133","cg07015465",1699,371.2
"134","cg08170375",1958,373
"135","cg05784157",1459,373.4
"136","cg19759228",4378,383
"137","cg12187567",2822,386.6
"138","cg08841910",2110,392.6
"139","cg08343222",2004,393
"140","cg03421358",885,394
"141","cg16257629",3693,395
"142","cg18488204",4141,395.2
"143","cg03999420",1040,402.6
"144","cg27177779",5804,405
"145","cg04604276",1172,408.6
"146","cg09085417",2155,410
"147","cg12419685",2876,411.2
"148","cg13855261",3192,412
"149","cg23141902",4992,413.4
"150","cg21499430",4704,414
"151","cg05087659",1287,417.6
"152","cg24983105",5381,418.6
"153","cg23580410",5085,419.4
"154","cg07530241",1835,419.6
"155","cg11066033",2584,426
"156","cg21599089",4719,432.8
"157","cg03041738",801,433.8
"158","cg11995303",2778,434.6
"159","cg16775746",3817,435
"160","cg16739118",3811,436.2
"161","cg07222844",1753,443.8
"162","cg14156650",3271,451.4
"163","ch.19.1528169R",5912,452
"164","cg02617132",666,452.4
"165","cg07674753",1863,453.6
"166","cg15877883",3605,454.4
"167","cg25669900",5508,455.6
"168","cg25319826",5447,456.4
"169","cg00168009",43,457.4
"170","cg17542545",3970,463.2
"171","cg00735667",181,463.8
"172","cg05740567",1447,464.8
"173","cg13717023",3159,466.4
"174","cg19931348",4413,466.8
"175","cg15963109",3619,468
"176","cg12169977",2820,469
"177","cg16015395",3631,471.2
"178","cg05589743",1417,472
"179","cg11888757",2759,473.2
"180","cg01131147",284,473.8
"181","cg17456616",3946,474
"182","cg02627286",669,474.4
"183","cg12605679",2931,475.2
"184","cg16679543",3790,477.4
"185","cg21169285",4641,477.4
"186","cg22381196",4865,478
"187","cg21821659",4741,478.4
"188","cg11354576",2645,478.8
"189","cg01338296",343,483.4
"190","cg07280206",1769,488.2
"191","cg14375163",3323,489.2
"192","cg04645049",1183,489.6
"193","cg10544039",2485,493.4
"194","cg20502080",4517,493.8
"195","cg23104227",4985,496.2
"196","cg24267428",5232,500.8
"197","cg09229797",2193,502.6
"198","cg18035897",4068,505.4
"199","cg15188908",3488,510.2
"200","cg04157308",1076,510.4
"201","cg20208133",4466,511.4
"202","cg04458670",1146,515.4
"203","cg07351592",1787,515.4
"204","cg02939781",765,515.6
"205","cg26284390",5625,518.8
"206","cg15855036",3602,519.8
"207","cg12990392",2998,521.8
"208","cg02782630",712,523.6
"209","cg02233750",573,525.4
"210","cg06584503",1605,529.8
"211","cg09821112",2312,530.2
"212","cg13160874",3040,530.4
"213","cg08377331",2011,531.4
"214","cg08916340",2126,534
"215","cg22153994",4814,534.8
"216","cg23709117",5103,538.6
"217","cg00171565",45,539.4
"218","cg19636627",4350,540.2
"219","cg01858866",476,543.4
"220","cg17723597",3997,543.6
"221","cg25203031",5422,545.4
"222","cg00372692",88,545.6
"223","cg24307799",5239,548.4
"224","cg22697517",4921,555.2
"225","cg15605448",3564,555.6
"226","cg00527440",133,557.4
"227","cg14834257",3418,557.6
"228","cg03887502",1010,558.4
"229","cg26277709",5622,560.2
"230","cg24393602",5255,561.2
"231","cg06330797",1557,561.8
"232","cg10291119",2429,562.4
"233","cg05357320",1359,564.4
"234","cg21243939",4662,566.2
"235","cg12320263",2853,566.4
"236","cg09495207",2248,567.2
